Seq_number	New_name	Location	Site	Bio_rep	Tech_rep	Sample_date	eDNA_label	Extraction_date	Volume	Sample_Control	Technical_rep	Control_Type	K
SAC.MIU.2.S109	SAC_2	Santa_Rosa_Island	Southeast_Anchorage	C	2	9/13/18	SAC	9/27/18	1200	Sample	SAC_2	NA	3
SAC.MIU.3.S188	SAC_3	Santa_Rosa_Island	Southeast_Anchorage	C	3	9/13/18	SAC	9/27/18	1200	Sample	SAC_3	NA	3
SCA1127.MIU.1.S40	SCA_1	Mainland	Santa_Claus	A	1	NA	SCA	11/27/18	1150	Sample	SCA_1	NA	3
SCA1127.MIU.2.S119	SCA_2	Mainland	Santa_Claus	A	2	NA	SCA	11/27/18	1150	Sample	SCA_2	NA	3
SCA1127.MIU.3.S198	SCA_3	Mainland	Santa_Claus	A	3	NA	SCA	11/27/18	1150	Sample	SCA_3	NA	3
SCA927.MIU.1.S22	SCAR_1	Santa_Rosa_Island	Soledad	A	1	9/11/18	SCAR	9/27/18	1100	Sample	SCAR_1	NA	3
SCA927.MIU.2.S101	SCAR_2	Santa_Rosa_Island	Soledad	A	2	9/11/18	SCAR	9/27/18	1100	Sample	SCAR_2	NA	3
SCA927.MIU.3.S180	SCAR_3	Santa_Rosa_Island	Soledad	A	3	9/11/18	SCAR	9/27/18	1100	Sample	SCAR_3	NA	3
SCB1127.MIU.1.S41	SCB_1	Mainland	Santa_Claus	B	1	NA	SCB	11/27/18	800	Sample	SCB_1	NA	3
SCB1127.MIU.2.S120	SCB_2	Mainland	Santa_Claus	B	2	NA	SCB	11/27/18	800	Sample	SCB_2	NA	3
SCB1127.MIU.3.S199	SCB_3	Mainland	Santa_Claus	B	3	NA	SCB	11/27/18	800	Sample	SCB_3	NA	3
SCB927.MIU.1.S23	SCBR_1	Santa_Rosa_Island	Soledad	B	1	9/11/18	SCBR	9/27/18	1200	Sample	SCBR_1	NA	3
SCB927.MIU.2.S102	SCBR_2	Santa_Rosa_Island	Soledad	B	2	9/11/18	SCBR	9/27/18	1200	Sample	SCBR_2	NA	3
SCB927.MIU.3.S181	SCBR_3	Santa_Rosa_Island	Soledad	B	3	9/11/18	SCBR	9/27/18	1200	Sample	SCBR_3	NA	3
SCC1127.MIU.1.S42	SCC_1	Mainland	Santa_Claus	C	1	NA	SCC	11/27/18	1150	Sample	SCC_1	NA	3
SCC1127.MIU.2.S121	SCC_2	Mainland	Santa_Claus	C	2	NA	SCC	11/27/18	1150	Sample	SCC_2	NA	3
SCC1127.MIU.3.S200	SCC_3	Mainland	Santa_Claus	C	3	NA	SCC	11/27/18	1150	Sample	SCC_3	NA	3
SCC927.MIU.1.S24	SCCR_1	Santa_Rosa_Island	Soledad	C	1	9/11/18	SCCR	9/27/18	1100	Sample	SCCR_1	NA	3
SCC927.MIU.2.S103	SCCR_2	Santa_Rosa_Island	Soledad	C	2	9/11/18	SCCR	9/27/18	1100	Sample	SCCR_2	NA	3
SCC927.MIU.3.S182	SCCR_3	Santa_Rosa_Island	Soledad	C	3	9/11/18	SCCR	9/27/18	1100	Sample	SCCR_3	NA	3
SMA.MIU.1.S1	SMA_1	Mainland	Santa_Monica	A	1	8/15/18	SMA	9/27/18	1000	Sample	SMA_1	NA	3
SMA.MIU.2.S80	SMA_2	Mainland	Santa_Monica	A	2	8/15/18	SMA	9/27/18	1000	Sample	SMA_2	NA	3
SMA.MIU.3.S159	SMA_3	Mainland	Santa_Monica	A	3	8/15/18	SMA	9/27/18	1000	Sample	SMA_3	NA	3
SMB.MIU.1.S2	SMB_1	Mainland	Santa_Monica	B	1	8/15/18	SMB	9/27/18	1000	Sample	SMB_1	NA	3
SMB.MIU.2.S81	SMB_2	Mainland	Santa_Monica	B	2	8/15/18	SMB	9/27/18	1000	Sample	SMB_2	NA	3
SMB.MIU.3.S160	SMB_3	Mainland	Santa_Monica	B	3	8/15/18	SMB	9/27/18	1000	Sample	SMB_3	NA	3
SMC.MIU.1.S3	SMC_1	Mainland	Santa_Monica	C	1	8/15/18	SMC	9/27/18	1250	Sample	SMC_1	NA	3
SMC.MIU.2.S82	SMC_2	Mainland	Santa_Monica	C	2	8/15/18	SMC	9/27/18	1250	Sample	SMC_2	NA	3
SMC.MIU.3.S161	SMC_3	Mainland	Santa_Monica	C	3	8/15/18	SMC	9/27/18	1250	Sample	SMC_3	NA	3
SPA.MIU.1.S19	SPA_1	Santa_Rosa_Island	Sandy_Point	A	1	9/10/18	SPA	9/27/18	1250	Sample	SPA_1	NA	3
SPA.MIU.2.S98	SPA_2	Santa_Rosa_Island	Sandy_Point	A	2	9/10/18	SPA	9/27/18	1250	Sample	SPA_2	NA	3
SPA.MIU.3.S177	SPA_3	Santa_Rosa_Island	Sandy_Point	A	3	9/10/18	SPA	9/27/18	1250	Sample	SPA_3	NA	3
SPB.MIU.1.S20	SPB_1	Santa_Rosa_Island	Sandy_Point	B	1	9/10/18	SPB	9/27/18	1250	Sample	SPB_1	NA	3
SPB.MIU.2.S99	SPB_2	Santa_Rosa_Island	Sandy_Point	B	2	9/10/18	SPB	9/27/18	1250	Sample	SPB_2	NA	3
SPB.MIU.3.S178	SPB_3	Santa_Rosa_Island	Sandy_Point	B	3	9/10/18	SPB	9/27/18	1250	Sample	SPB_3	NA	3
SPC.MIU.1.S21	SPC_1	Santa_Rosa_Island	Sandy_Point	C	1	9/10/18	SPC	9/27/18	1000	Sample	SPC_1	NA	3
SPC.MIU.2.S100	SPC_2	Santa_Rosa_Island	Sandy_Point	C	2	9/10/18	SPC	9/27/18	1000	Sample	SPC_2	NA	3
SPC.MIU.3.S179	SPC_3	Santa_Rosa_Island	Sandy_Point	C	3	9/10/18	SPC	9/27/18	1000	Sample	SPC_3	NA	3
WCA.MIU.1.S13	WCA_1	Santa_Rosa_Island	Water_Canyon	A	1	9/8/18	WCA	9/27/18	1250	Sample	WCA_1	NA	3
WCA.MIU.2.S92	WCA_2	Santa_Rosa_Island	Water_Canyon	A	2	9/8/18	WCA	9/27/18	1250	Sample	WCA_2	NA	3
WCA.MIU.3.S171	WCA_3	Santa_Rosa_Island	Water_Canyon	A	3	9/8/18	WCA	9/27/18	1250	Sample	WCA_3	NA	3
WCB.MIU.1.S14	WCB_1	Santa_Rosa_Island	Water_Canyon	B	1	9/8/18	WCB	9/27/18	1000	Sample	WCB_1	NA	3
WCB.MIU.2.S93	WCB_2	Santa_Rosa_Island	Water_Canyon	B	2	9/8/18	WCB	9/27/18	1000	Sample	WCB_2	NA	3
WCB.MIU.3.S172	WCB_3	Santa_Rosa_Island	Water_Canyon	B	3	9/8/18	WCB	9/27/18	1000	Sample	WCB_3	NA	3
WCC.MIU.1.S15	WCC_1	Santa_Rosa_Island	Water_Canyon	C	1	9/8/18	WCC	9/27/18	1200	Sample	WCC_1	NA	3
WCC.MIU.2.S94	WCC_2	Santa_Rosa_Island	Water_Canyon	C	2	9/8/18	WCC	9/27/18	1200	Sample	WCC_2	NA	3
WCC.MIU.3.S173	WCC_3	Santa_Rosa_Island	Water_Canyon	C	3	9/8/18	WCC	9/27/18	1200	Sample	WCC_3	NA	3
X1.MIU.1.S33	Field.blank_1	NA	NA	NA	NA	NA	NA	NA	NA	Control	NA	Blank	NA
X1.MIU.2.S112	Field.blank_2	NA	NA	NA	NA	NA	NA	NA	NA	Control	NA	Blank	NA
X1.MIU.3.S191	Field.blank_3	NA	NA	NA	NA	NA	NA	NA	NA	Control	NA	Blank	NA
Blank.MIU.1.S78	MPA.Field.blank_1	NA	NA	NA	NA	NA	NA	NA	NA	Control	NA	Blank	NA
Blank.MIU.3.S236	MPA.Field.blank_2	NA	NA	NA	NA	NA	NA	NA	NA	Control	NA	Blank	NA
NEG.MIU.A.2.S111	PCR.Neg_4	NA	NA	NA	NA	NA	NA	NA	NA	Control	NA	Blank	NA
NEG.MIU.B.3.S217	PCR.Neg_5	NA	NA	NA	NA	NA	NA	NA	NA	Control	NA	Blank	NA
NEG.MIU.C.3.S237	PCR.Neg_6	NA	NA	NA	NA	NA	NA	NA	NA	Control	NA	Blank	NA
UCSB.Group.A.Elas.1.31.S31	Alligator_1	NA	NA	NA	NA	NA	NA	NA	NA	Control	NA	Pos	NA
UCSB.Group.A.Elas.2.31.S110	Alligator_2	NA	NA	NA	NA	NA	NA	NA	NA	Control	NA	Pos	NA
UCSB.Group.A.Elas.3.31.S189	Alligator_3	NA	NA	NA	NA	NA	NA	NA	NA	Control	NA	Pos	NA
UCSB.Group.B.Elas.1.2.S34	BBA_1	Santa_Rosa_Island	Bechers	A	1	9/19/18	BBA	9/27/18	1100	Sample	BBA_1	NA	3
UCSB.Group.B.Elas.2.2.S113	BBA_2	Santa_Rosa_Island	Bechers	A	2	9/19/18	BBA	9/27/18	1100	Sample	BBA_2	NA	3
UCSB.Group.B.Elas.3.2.S192	BBA_3	Santa_Rosa_Island	Bechers	A	3	9/19/18	BBA	9/27/18	1100	Sample	BBA_3	NA	3
UCSB.Group.B.Elas.1.3.S35	BBB_1	Santa_Rosa_Island	Bechers	B	1	9/19/18	BBB	9/27/18	100	Sample	BBB_1	NA	3
UCSB.Group.B.Elas.2.3.S114	BBB_2	Santa_Rosa_Island	Bechers	B	2	9/19/18	BBB	9/27/18	100	Sample	BBB_2	NA	3
UCSB.Group.B.Elas.3.3.S193	BBB_3	Santa_Rosa_Island	Bechers	B	3	9/19/18	BBB	9/27/18	100	Sample	BBB_3	NA	3
UCSB.Group.B.Elas.1.4.S36	BBC_1	Santa_Rosa_Island	Bechers	C	1	9/19/18	BBC	9/27/18	1200	Sample	BBC_1	NA	3
UCSB.Group.B.Elas.2.4.S115	BBC_2	Santa_Rosa_Island	Bechers	C	2	9/19/18	BBC	9/27/18	1200	Sample	BBC_2	NA	3
UCSB.Group.B.Elas.3.4.S194	BBC_3	Santa_Rosa_Island	Bechers	C	3	9/19/18	BBC	9/27/18	1200	Sample	BBC_3	NA	3
UCSB.Group.C.Elas.1.19.S78	MPA.Field.blank_1	NA	NA	NA	NA	NA	NA	NA	NA	Control	NA	Blank	NA
UCSB.Group.C.Elas.3.19.S236	MPA.Field.blank_2	NA	NA	NA	NA	NA	NA	NA	NA	Control	NA	Blank	NA
UCSB.Group.B.Elas.1.17.S49	BWA_1	Santa_Catalina_Island	Ben_Weston	A	1	10/20/18	BWA	11/27/18	1250	Sample	BWA_1	NA	3
UCSB.Group.B.Elas.2.17.S128	BWA_2	Santa_Catalina_Island	Ben_Weston	A	2	10/20/18	BWA	11/27/18	1250	Sample	BWA_2	NA	3
UCSB.Group.B.Elas.3.17.S207	BWA_3	Santa_Catalina_Island	Ben_Weston	A	3	10/20/18	BWA	11/27/18	1250	Sample	BWA_3	NA	3
UCSB.Group.B.Elas.1.18.S50	BWB_1	Santa_Catalina_Island	Ben_Weston	B	1	10/20/18	BWB	11/27/18	1100	Sample	BWB_1	NA	3
UCSB.Group.B.Elas.2.18.S129	BWB_2	Santa_Catalina_Island	Ben_Weston	B	2	10/20/18	BWB	11/27/18	1100	Sample	BWB_2	NA	3
UCSB.Group.B.Elas.3.18.S208	BWB_3	Santa_Catalina_Island	Ben_Weston	B	3	10/20/18	BWB	11/27/18	1100	Sample	BWB_3	NA	3
UCSB.Group.B.Elas.1.19.S51	BWC_1	Santa_Catalina_Island	Ben_Weston	C	1	10/20/18	BWC	11/27/18	1100	Sample	BWC_1	NA	3
UCSB.Group.B.Elas.2.19.S130	BWC_2	Santa_Catalina_Island	Ben_Weston	C	2	10/20/18	BWC	11/27/18	1100	Sample	BWC_2	NA	3
UCSB.Group.B.Elas.3.19.S209	BWC_3	Santa_Catalina_Island	Ben_Weston	C	3	10/20/18	BWC	11/27/18	1100	Sample	BWC_3	NA	3
UCSB.Group.B.Elas.1.26.S58	Camel_1	NA	NA	NA	NA	NA	NA	NA	NA	Control	NA	Pos	NA
UCSB.Group.B.Elas.2.26.S137	Camel_2	NA	NA	NA	NA	NA	NA	NA	NA	Control	NA	Pos	NA
UCSB.Group.B.Elas.3.26.S216	Camel_3	NA	NA	NA	NA	NA	NA	NA	NA	Control	NA	Pos	NA
UCSB.Group.A.Elas.1.10.S10	CBA_1	Santa_Cruz_Island	Christy	A	1	8/26/18	CBA	9/27/18	1250	Sample	CBA_1	NA	3
UCSB.Group.A.Elas.2.10.S89	CBA_2	Santa_Cruz_Island	Christy	A	2	8/26/18	CBA	9/27/18	1250	Sample	CBA_2	NA	3
UCSB.Group.A.Elas.3.10.S168	CBA_3	Santa_Cruz_Island	Christy	A	3	8/26/18	CBA	9/27/18	1250	Sample	CBA_3	NA	3
UCSB.Group.A.Elas.1.11.S11	CBB_1	Santa_Cruz_Island	Christy	B	1	8/26/18	CBB	9/27/18	1250	Sample	CBB_1	NA	3
UCSB.Group.A.Elas.2.11.S90	CBB_2	Santa_Cruz_Island	Christy	B	2	8/26/18	CBB	9/27/18	1250	Sample	CBB_2	NA	3
UCSB.Group.A.Elas.3.11.S169	CBB_3	Santa_Cruz_Island	Christy	B	3	8/26/18	CBB	9/27/18	1250	Sample	CBB_3	NA	3
UCSB.Group.A.Elas.1.12.S12	CBC_1	Santa_Cruz_Island	Christy	C	1	8/26/18	CBC	9/27/18	1250	Sample	CBC_1	NA	3
UCSB.Group.A.Elas.2.12.S91	CBC_2	Santa_Cruz_Island	Christy	C	2	8/26/18	CBC	9/27/18	1250	Sample	CBC_2	NA	3
UCSB.Group.A.Elas.3.12.S170	CBC_3	Santa_Cruz_Island	Christy	C	3	8/26/18	CBC	9/27/18	1250	Sample	CBC_3	NA	3
UCSB.Group.A.Elas.1.25.S25	CCA_1	Santa_Rosa_Island	China_Camp	A	1	9/12/18	CCA	9/27/18	1100	Sample	CCA_1	NA	3
UCSB.Group.A.Elas.2.25.S104	CCA_2	Santa_Rosa_Island	China_Camp	A	2	9/12/18	CCA	9/27/18	1100	Sample	CCA_2	NA	3
UCSB.Group.A.Elas.3.25.S183	CCA_3	Santa_Rosa_Island	China_Camp	A	3	9/12/18	CCA	9/27/18	1100	Sample	CCA_3	NA	3
UCSB.Group.A.Elas.1.26.S26	CCB_1	Santa_Rosa_Island	China_Camp	B	1	9/12/18	CCB	9/27/18	1300	Sample	CCB_1	NA	3
UCSB.Group.A.Elas.2.26.S105	CCB_2	Santa_Rosa_Island	China_Camp	B	2	9/12/18	CCB	9/27/18	1300	Sample	CCB_2	NA	3
UCSB.Group.A.Elas.3.26.S184	CCB_3	Santa_Rosa_Island	China_Camp	B	3	9/12/18	CCB	9/27/18	1300	Sample	CCB_3	NA	3
UCSB.Group.A.Elas.1.27.S27	CCC_1	Santa_Rosa_Island	China_Camp	C	1	9/12/18	CCC	9/27/18	1100	Sample	CCC_1	NA	3
UCSB.Group.A.Elas.2.27.S106	CCC_2	Santa_Rosa_Island	China_Camp	C	2	9/12/18	CCC	9/27/18	1100	Sample	CCC_2	NA	3
UCSB.Group.A.Elas.3.27.S185	CCC_3	Santa_Rosa_Island	China_Camp	C	3	9/12/18	CCC	9/27/18	1100	Sample	CCC_3	NA	3
UCSB.Group.B.Elas.1.11.S43	CHA_1	San_Miguel_Island	Cuylers_Harbor	A	1	10/16/18	CHA	11/27/18	1250	Sample	CHA_1	NA	3
UCSB.Group.B.Elas.2.11.S122	CHA_2	San_Miguel_Island	Cuylers_Harbor	A	2	10/16/18	CHA	11/27/18	1250	Sample	CHA_2	NA	3
UCSB.Group.B.Elas.3.11.S201	CHA_3	San_Miguel_Island	Cuylers_Harbor	A	3	10/16/18	CHA	11/27/18	1250	Sample	CHA_3	NA	3
UCSB.Group.B.Elas.1.12.S44	CHB_1	San_Miguel_Island	Cuylers_Harbor	B	1	10/16/18	CHB	11/27/18	1250	Sample	CHB_1	NA	3
UCSB.Group.B.Elas.2.12.S123	CHB_2	San_Miguel_Island	Cuylers_Harbor	B	2	10/16/18	CHB	11/27/18	1250	Sample	CHB_2	NA	3
UCSB.Group.B.Elas.3.12.S202	CHB_3	San_Miguel_Island	Cuylers_Harbor	B	3	10/16/18	CHB	11/27/18	1250	Sample	CHB_3	NA	3
UCSB.Group.B.Elas.1.13.S45	CHC_1	San_Miguel_Island	Cuylers_Harbor	C	1	10/16/18	CHC	11/27/18	1250	Sample	CHC_1	NA	3
UCSB.Group.B.Elas.2.13.S124	CHC_2	San_Miguel_Island	Cuylers_Harbor	C	2	10/16/18	CHC	11/27/18	1250	Sample	CHC_2	NA	3
UCSB.Group.B.Elas.3.13.S203	CHC_3	San_Miguel_Island	Cuylers_Harbor	C	3	10/16/18	CHC	11/27/18	1250	Sample	CHC_3	NA	3
UCSB.Group.A.Elas.1.4.S4	CPA_1	Santa_Cruz_Island	Coches	A	1	8/24/18	CPA	9/27/18	1250	Sample	CPA_1	NA	3
UCSB.Group.A.Elas.2.4.S83	CPA_2	Santa_Cruz_Island	Coches	A	2	8/24/18	CPA	9/27/18	1250	Sample	CPA_2	NA	3
UCSB.Group.A.Elas.3.4.S162	CPA_3	Santa_Cruz_Island	Coches	A	3	8/24/18	CPA	9/27/18	1250	Sample	CPA_3	NA	3
UCSB.Group.A.Elas.1.5.S5	CPB_1	Santa_Cruz_Island	Coches	B	1	8/24/18	CPB	9/27/18	1250	Sample	CPB_1	NA	3
UCSB.Group.A.Elas.2.5.S84	CPB_2	Santa_Cruz_Island	Coches	B	2	8/24/18	CPB	9/27/18	1250	Sample	CPB_2	NA	3
UCSB.Group.A.Elas.3.5.S163	CPB_3	Santa_Cruz_Island	Coches	B	3	8/24/18	CPB	9/27/18	1250	Sample	CPB_3	NA	3
UCSB.Group.A.Elas.1.6.S6	CPC_1	Santa_Cruz_Island	Coches	C	1	8/24/18	CPC	9/27/18	1250	Sample	CPC_1	NA	3
UCSB.Group.A.Elas.2.6.S85	CPC_2	Santa_Cruz_Island	Coches	C	2	8/24/18	CPC	9/27/18	1250	Sample	CPC_2	NA	3
UCSB.Group.A.Elas.3.6.S164	CPC_3	Santa_Cruz_Island	Coches	C	3	8/24/18	CPC	9/27/18	1250	Sample	CPC_3	NA	3
UCSB.Group.B.Elas.1.23.S55	DPA_1	Mainland	Dangermond	A	1	11/2/18	DPA	11/27/18	1150	Sample	DPA_1	NA	3
UCSB.Group.B.Elas.2.23.S134	DPA_2	Mainland	Dangermond	A	2	11/2/18	DPA	11/27/18	1150	Sample	DPA_2	NA	3
UCSB.Group.B.Elas.3.23.S213	DPA_3	Mainland	Dangermond	A	3	11/2/18	DPA	11/27/18	1150	Sample	DPA_3	NA	3
UCSB.Group.B.Elas.1.24.S56	DPB_1	Mainland	Dangermond	B	1	11/2/18	DPB	11/27/18	750	Sample	DPB_1	NA	3
UCSB.Group.B.Elas.2.24.S135	DPB_2	Mainland	Dangermond	B	2	11/2/18	DPB	11/27/18	750	Sample	DPB_2	NA	3
UCSB.Group.B.Elas.3.24.S214	DPB_3	Mainland	Dangermond	B	3	11/2/18	DPB	11/27/18	750	Sample	DPB_3	NA	3
UCSB.Group.B.Elas.1.25.S57	DPC_1	Mainland	Dangermond	C	1	11/2/18	DPC	11/27/18	1200	Sample	DPC_1	NA	3
UCSB.Group.B.Elas.2.25.S136	DPC_2	Mainland	Dangermond	C	2	11/2/18	DPC	11/27/18	1200	Sample	DPC_2	NA	3
UCSB.Group.B.Elas.3.25.S215	DPC_3	Mainland	Dangermond	C	3	11/2/18	DPC	11/27/18	1200	Sample	DPC_3	NA	3
UCSB.Group.B.Elas.1.14.S46	EBA_1	Santa_Catalina_Island	Emerald_Bay	A	1	10/21/18	EBA	11/27/18	1000	Sample	EBA_1	NA	3
UCSB.Group.B.Elas.2.14.S125	EBA_2	Santa_Catalina_Island	Emerald_Bay	A	2	10/21/18	EBA	11/27/18	1000	Sample	EBA_2	NA	3
UCSB.Group.B.Elas.3.14.S204	EBA_3	Santa_Catalina_Island	Emerald_Bay	A	3	10/21/18	EBA	11/27/18	1000	Sample	EBA_3	NA	3
UCSB.Group.B.Elas.1.15.S47	EBB_1	Santa_Catalina_Island	Emerald_Bay	B	1	10/21/18	EBB	11/27/18	1100	Sample	EBB_1	NA	3
UCSB.Group.B.Elas.2.15.S126	EBB_2	Santa_Catalina_Island	Emerald_Bay	B	2	10/21/18	EBB	11/27/18	1100	Sample	EBB_2	NA	3
UCSB.Group.B.Elas.3.15.S205	EBB_3	Santa_Catalina_Island	Emerald_Bay	B	3	10/21/18	EBB	11/27/18	1100	Sample	EBB_3	NA	3
UCSB.Group.B.Elas.1.16.S48	EBC_1	Santa_Catalina_Island	Emerald_Bay	C	1	10/21/18	EBC	11/27/18	1000	Sample	EBC_1	NA	3
UCSB.Group.B.Elas.2.16.S127	EBC_2	Santa_Catalina_Island	Emerald_Bay	C	2	10/21/18	EBC	11/27/18	1000	Sample	EBC_2	NA	3
UCSB.Group.B.Elas.3.16.S206	EBC_3	Santa_Catalina_Island	Emerald_Bay	C	3	10/21/18	EBC	11/27/18	1000	Sample	EBC_3	NA	3
UCSB.Group.A.Elas.1.7.S7	FCA_1	Santa_Cruz_Island	Forney	A	1	8/25/18	FCA	9/27/18	1250	Sample	FCA_1	NA	3
UCSB.Group.A.Elas.2.7.S86	FCA_2	Santa_Cruz_Island	Forney	A	2	8/25/18	FCA	9/27/18	1250	Sample	FCA_2	NA	3
UCSB.Group.A.Elas.3.7.S165	FCA_3	Santa_Cruz_Island	Forney	A	3	8/25/18	FCA	9/27/18	1250	Sample	FCA_3	NA	3
UCSB.Group.A.Elas.1.8.S8	FCB_1	Santa_Cruz_Island	Forney	B	1	8/25/18	FCB	9/27/18	1250	Sample	FCB_1	NA	3
UCSB.Group.A.Elas.2.8.S87	FCB_2	Santa_Cruz_Island	Forney	B	2	8/25/18	FCB	9/27/18	1250	Sample	FCB_2	NA	3
UCSB.Group.A.Elas.3.8.S166	FCB_3	Santa_Cruz_Island	Forney	B	3	8/25/18	FCB	9/27/18	1250	Sample	FCB_3	NA	3
UCSB.Group.A.Elas.1.9.S9	FCC_1	Santa_Cruz_Island	Forney	C	1	8/25/18	FCC	9/27/18	1200	Sample	FCC_1	NA	3
UCSB.Group.A.Elas.2.9.S88	FCC_2	Santa_Cruz_Island	Forney	C	2	8/25/18	FCC	9/27/18	1200	Sample	FCC_2	NA	3
UCSB.Group.A.Elas.3.9.S167	FCC_3	Santa_Cruz_Island	Forney	C	3	8/25/18	FCC	9/27/18	1200	Sample	FCC_3	NA	3
UCSB.Group.A.Elas.1.16.S16	FPA_1	Santa_Rosa_Island	Ford_Pt	A	1	9/9/18	FPA	9/27/18	900	Sample	FPA_1	NA	3
UCSB.Group.A.Elas.2.16.S95	FPA_2	Santa_Rosa_Island	Ford_Pt	A	2	9/9/18	FPA	9/27/18	900	Sample	FPA_2	NA	3
UCSB.Group.A.Elas.3.16.S174	FPA_3	Santa_Rosa_Island	Ford_Pt	A	3	9/9/18	FPA	9/27/18	900	Sample	FPA_3	NA	3
UCSB.Group.A.Elas.1.17.S17	FPB_1	Santa_Rosa_Island	Ford_Pt	B	1	9/9/18	FPB	9/27/18	1250	Sample	FPB_1	NA	3
UCSB.Group.A.Elas.2.17.S96	FPB_2	Santa_Rosa_Island	Ford_Pt	B	2	9/9/18	FPB	9/27/18	1250	Sample	FPB_2	NA	3
UCSB.Group.A.Elas.3.17.S175	FPB_3	Santa_Rosa_Island	Ford_Pt	B	3	9/9/18	FPB	9/27/18	1250	Sample	FPB_3	NA	3
UCSB.Group.A.Elas.1.18.S18	FPC_1	Santa_Rosa_Island	Ford_Pt	C	1	9/9/18	FPC	9/27/18	1000	Sample	FPC_1	NA	3
UCSB.Group.A.Elas.2.18.S97	FPC_2	Santa_Rosa_Island	Ford_Pt	C	2	9/9/18	FPC	9/27/18	1000	Sample	FPC_2	NA	3
UCSB.Group.A.Elas.3.18.S176	FPC_3	Santa_Rosa_Island	Ford_Pt	C	3	9/9/18	FPC	9/27/18	1000	Sample	FPC_3	NA	3
UCSB.Group.C.Elas.1.4.S63	LCZA.A_1	Gold_mpawatch	LCZA	A	1	NA	LCZA.A	NA	500	Sample	LCZA.A_1	NA	3
UCSB.Group.C.Elas.2.4.S142	LCZA.A_2	Gold_mpawatch	LCZA	A	2	NA	LCZA.A	NA	500	Sample	LCZA.A_2	NA	3
UCSB.Group.C.Elas.3.4.S221	LCZA.A_3	Gold_mpawatch	LCZA	A	3	NA	LCZA.A	NA	500	Sample	LCZA.A_3	NA	3
UCSB.Group.C.Elas.1.5.S64	LCZA.B_1	Gold_mpawatch	LCZA	B	1	NA	LCZA.B	NA	500	Sample	LCZA.B_1	NA	3
UCSB.Group.C.Elas.2.5.S143	LCZA.B_2	Gold_mpawatch	LCZA	B	2	NA	LCZA.B	NA	500	Sample	LCZA.B_2	NA	3
UCSB.Group.C.Elas.3.5.S222	LCZA.B_3	Gold_mpawatch	LCZA	B	3	NA	LCZA.B	NA	500	Sample	LCZA.B_3	NA	3
UCSB.Group.C.Elas.1.6.S65	LCZA.C_1	Gold_mpawatch	LCZA	C	1	NA	LCZA.C	NA	500	Sample	LCZA.C_1	NA	3
UCSB.Group.C.Elas.2.6.S144	LCZA.C_2	Gold_mpawatch	LCZA	C	2	NA	LCZA.C	NA	500	Sample	LCZA.C_2	NA	3
UCSB.Group.C.Elas.3.6.S223	LCZA.C_3	Gold_mpawatch	LCZA	C	3	NA	LCZA.C	NA	500	Sample	LCZA.C_3	NA	3
UCSB.Group.B.Elas.1.20.S52	LHA_1	Santa_Catalina_Island	Little_Harbor	A	1	10/19/18	LHA	11/27/18	1100	Sample	LHA_1	NA	3
UCSB.Group.B.Elas.2.20.S131	LHA_2	Santa_Catalina_Island	Little_Harbor	A	2	10/19/18	LHA	11/27/18	1100	Sample	LHA_2	NA	3
UCSB.Group.B.Elas.3.20.S210	LHA_3	Santa_Catalina_Island	Little_Harbor	A	3	10/19/18	LHA	11/27/18	1100	Sample	LHA_3	NA	3
UCSB.Group.B.Elas.1.21.S53	LHB_1	Santa_Catalina_Island	Little_Harbor	B	1	10/19/18	LHB	11/27/18	1200	Sample	LHB_1	NA	3
UCSB.Group.B.Elas.2.21.S132	LHB_2	Santa_Catalina_Island	Little_Harbor	B	2	10/19/18	LHB	11/27/18	1200	Sample	LHB_2	NA	3
UCSB.Group.B.Elas.3.21.S211	LHB_3	Santa_Catalina_Island	Little_Harbor	B	3	10/19/18	LHB	11/27/18	1200	Sample	LHB_3	NA	3
UCSB.Group.B.Elas.1.22.S54	LHC_1	Santa_Catalina_Island	Little_Harbor	C	1	10/19/18	LHC	11/27/18	1100	Sample	LHC_1	NA	3
UCSB.Group.B.Elas.2.22.S133	LHC_2	Santa_Catalina_Island	Little_Harbor	C	2	10/19/18	LHC	11/27/18	1100	Sample	LHC_2	NA	3
UCSB.Group.B.Elas.3.22.S212	LHC_3	Santa_Catalina_Island	Little_Harbor	C	3	10/19/18	LHC	11/27/18	1100	Sample	LHC_3	NA	3
UCSB.Group.C.Elas.1.13.S72	LTGO.eDNA.1.2.A_1	Gold_mpawatch	LTGO_1.2	A	1	NA	LTGO_1.2.A	NA	500	Sample	LTGO_eDNA_1.2.A_1	NA	3
UCSB.Group.C.Elas.2.13.S151	LTGO.eDNA.1.2.A_2	Gold_mpawatch	LTGO_1.2	A	2	NA	LTGO_1.2.A	NA	500	Sample	LTGO_eDNA_1.2.A_2	NA	3
UCSB.Group.C.Elas.3.13.S230	LTGO.eDNA.1.2.A_3	Gold_mpawatch	LTGO_1.2	A	3	NA	LTGO_1.2.A	NA	500	Sample	LTGO_eDNA_1.2.A_3	NA	3
UCSB.Group.C.Elas.1.14.S73	LTGO.eDNA.1.2.B_1	Gold_mpawatch	LTGO_1.2	B	1	NA	LTGO_1.2.B	NA	500	Sample	LTGO_eDNA_1.2.B_1	NA	3
